Shark_Number,Gear_code,Gear_Description,Month,Day,Year,Latitude,Longitude,Location_Code,Location_Description,Sex,Fork_length,Stomach Weight (g),Bait,Note,Shark_Number,Diet_item_number,diet_item,DIet_Category_Code,Diet_Category_Description,Digested_Level_Code,Digested_level_description,item_wgt,item_length,item_width,Comments
SBK-001,BLL,Bottom Longline,3,4,2010,24.95,-80.35,GOM,Gulf Of Mexico,M,139,795,"BONITO, EEL",,SBK-001,1,EMPTY,,,6,empty,,,,
SBK-002,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,137,780,"BONITO, EEL",,SBK-002,1,UFR,UFR,Unidentifiable fish remains,5,well digested. few identifiable parts,1.64,,,"BONE, LENSE, PARASITES PRESENT"
SBK-003,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,120,697,"BONITO, EEL",,SBK-003,1,UFR,UFR,Unidentifiable fish remains,4,"flesh, bones, scales etc. in small pieces. measurements not possible",12.07,,,GILL RAKER
SBK-004,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,131,725,"BONITO, EEL",,SBK-004,0,EMPTY,,,6,empty,,,,
SBK-005,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,127,712,"BONITO, EEL",,SBK-005,0,EMPTY,,,6,empty,,,,
SBK-006,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,136,646,"BONITO, EEL",,SBK-006,0,EMPTY,,,6,empty,,,,
SBK-007,BLL,Bottom Longline,7,24,2008,28.77,-80.65,SA,South Atlantic,F,150,1049,"SHARK, DRUM, BONITO",,SBK-007,0,EMPTY,,,6,empty,,,,
SBK-008,BLL,Bottom Longline,7,24,2008,28.77,-80.65,SA,South Atlantic,F,131,658,"SHARK, DRUM, BONITO",,SBK-008,0,EMPTY,,,6,empty,,,,
SBK-009,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,128,852,"BONITO, EEL",,SBK-009,0,EMPTY,,,6,empty,,,,
SBK-010,BLL,Bottom Longline,3,10,2010,24.42,-82.05,GOM,Gulf Of Mexico,M,135,464,"BONITO, EEL",,SBK-010,0,EMPTY,,,6,empty,,,,
SBK-011,BLL,Bottom Longline,7,17,2008,29.66,-85.2,IP,Indian Pass,M,121,735,N/A,FL does not match GulfSPAN database query.,SBK-011,0,EMPTY,,,6,empty,,,,
SBK-012,BLL,Bottom Longline,7,24,2008,28.77,-80.65,SA,South Atlantic,F,135,631,"SHARK, DRUM, BONITO",,SBK-012,0,EMPTY,,,6,empty,,,,
SBK-013,BLL,Bottom Longline,7,17,2008,29.66,-85.2,IP,Indian Pass,M,116,449,N/A,FL does not match GulfSPAN database query.,SBK-013,0,EMPTY,,,6,empty,,,,
SBK-014,BLL,Bottom Longline,7,17,2008,29.66,-85.2,IP,Indian Pass,F,111,442,N/A,FL does not match GulfSPAN database query.,SBK-014,1,BIVALVE,MOL,Unidentifiable or other mollusc,5,well digested. few identifiable parts,0.01,,,HALF OF BIVALVE SHELL-SMALL
,,,,,,,,,,,,,,,SBK-014,2,UFR,UFR,Unidentifiable fish remains,4,"flesh, bones, scales etc. in small pieces. measurements not possible",21,,,"MEAT, BONES, 3 LENS, SCALES, PARASITES PRESENT, SAVED 2 SETS OF PHARYNGEAL TEETH"
SBK-015,BLL,Bottom Longline,9,6,2008,29.42,-85.87,GOM,Gulf Of Mexico,M,126,587,"EEL, SHARK",,SBK-015,0,EMPTY,,,6,empty,,,,
SBK-016,BLL,Bottom Longline,7,24,2008,28.77,-80.65,SA,South Atlantic,F,131,918,"SHARK, DRUM, BONITO",,SBK-016,1,UFR,UFR,Unidentifiable fish remains,4,"flesh, bones, scales etc. in small pieces. measurements not possible",25,,,"PARASITES PRESENT, PHARYNGEAL TEETH (SAVED), BONES, 2 LENSES, 1 OTOLITH (SAVED), MEAT"
,,,,,,,,,,,,,,,SBK-016,2,UFR,UFR,Unidentifiable fish remains,5,well digested. few identifiable parts,0.09,,,2 OTOLITHS
,,,,,,,,,,,,,,,SBK-016,3,UFR,UFR,Unidentifiable fish remains,5,well digested. few identifiable parts,0.2,,,4 LENSES
SBK-017,BLL,Bottom Longline,7,17,2008,29.66,-85.2,IP,Indian Pass,M,106,171,N/A,,SBK-017,0,EMPTY,,,6,empty,,,,
